"","STATEFP","UrbanAreaNo","income","age","income.LowestQuintile","income.SecondQuintile","income.ThirdQuintile","income.FourthQuintile","pop","white","hispanic","africanamerican","asian","twoormoreraces","educated","unemployed","notworkforce","gini","rent","State","UrbanArea","pct_white","pct_africanamerican","pct_asian","pct_hispanic","pct_twoormoreraces","pct_highed","pct_unem"
"29","Abilene, TX","00280",42250,31.1,18302,33463,52732,82471,111785,89626,28204,9678,1992,3364,15978,3567,30866,0.4538,770," TX","Abilene",0.801771257324328,0.0865769110345753,0.0178199221720267,0.252305765532048,0.0300934830254506,0.142935098626828,0.0440811181551922
"30","Abingdon, IL","00334",35918,40.5,19135,32022,43081,69063,2927,2781,49,72,0,74,195,138,990,0.3778,577," IL","Abingdon",0.950119576358046,0.0245985650837034,0,0.0167406901264093,0.0252818585582508,0.0666211137683635,0.0712441920495612
"31","Ada, OH","00388",37591,21.4,15632,27194,43278,71485,6019,5588,65,113,187,131,552,277,2254,0.4445,696," OH","Ada",0.928393420834026,0.0187738827047682,0.0310682837680678,0.0107991360691145,0.0217644126931384,0.0917095863100183,0.0735723771580345
"32","Ada, OK","00415",34556,31.6,15153,26588,44195,72483,17484,11936,1078,600,96,3387,3339,757,5070,0.4474,625," OK","Ada",0.682681308625029,0.0343170899107756,0.00549073438572409,0.0616563715396934,0.193719972546328,0.190974605353466,0.0609795392299017
"33","Adams, NY","00450",50948,43.8,14435,32786,64309,97525,2242,2061,87,22,70,31,391,244,673,0.441,689," NY","Adams",0.919268510258698,0.00981266726137377,0.0312221231043711,0.0388046387154326,0.0138269402319358,0.174397859054416,0.155513065646909
"34","Adel, GA","00469",29573,32.5,11878,22324,38489,70905,7125,2977,602,3634,44,176,669,328,2175,0.4895,701," GA","Adel",0.417824561403509,0.510035087719298,0.00617543859649123,0.0844912280701754,0.0247017543859649,0.0938947368421053,0.0662626262626263
"35","Adel, IA","00496",59531,38.4,27188,50300,67414,100455,3523,3429,124,22,0,69,680,52,766,0.3907,785," IA","Adel",0.973318194720409,0.0062446778313937,0,0.0351972750496736,0.0195855804711893,0.193017314788533,0.0188610808850199
"36","Adrian, MI","00577",41503,36.1,17917,32720,51265,78973,44811,39965,5067,1977,171,1372,6212,2482,14955,0.418,702," MI","Adrian",0.891856910133673,0.0441186315859945,0.00381602731472183,0.113074914641494,0.0306174823146103,0.138626676485684,0.0831323687031083
"37","Ahoskie, NC","00658",24673,40,10871,17396,34571,55583,4892,1440,54,3189,94,49,556,317,1829,0.508,627," NC","Ahoskie",0.294358135731807,0.651880621422731,0.0192150449713818,0.0110384300899428,0.0100163532297629,0.113654946852003,0.103493307215149
"38","Air Force Academy, CO","00676",68750,20.5,38933,59267,71844,92853,2871,2384,264,283,46,69,108,10,154,0.2425,1500," CO","Air Force Academy",0.830372692441658,0.0985719261581331,0.0160222918843608,0.0919540229885057,0.0240334378265413,0.0376175548589342,0.00368052999631947
"39","Ajo, AZ","00712",28586,45.7,14779,21519,40734,66500,3574,2395,1448,48,137,132,416,430,1252,0.4928,728," AZ","Ajo",0.67011751538892,0.0134303301622832,0.0383324006715165,0.405148293228875,0.0369334079462787,0.116396194739787,0.185185185185185
"40","Akron, NY","00739",45658,43,24694,38524,57135,87433,2984,2755,54,28,35,43,567,126,816,0.4008,712," NY","Akron",0.923257372654156,0.00938337801608579,0.0117292225201072,0.0180965147453083,0.0144101876675603,0.190013404825737,0.0581180811808118
"41","Akron, OH","00766",46592,38.7,18785,36712,57506,90717,567318,463452,9475,73770,11483,15261,101975,30314,161432,0.4524,726," OH","Akron",0.81691749600753,0.130032891605766,0.0202408525729838,0.0167013914594637,0.0269002569987203,0.179749276419927,0.0746859955751122
"42","Alachua, FL","00793",36810,36.6,15137,27882,48768,76500,3966,2702,383,1029,31,83,565,211,1040,0.4181,904," FL","Alachua",0.681290973272819,0.259455370650529,0.00781643973777105,0.0965708522440746,0.0209278870398386,0.142460917801311,0.0721120984278879
"43","Alamogordo, NM","00820",43579,37.6,17037,36476,51637,80250,32151,25144,10559,1735,673,1386,3881,1423,11047,0.4346,691," NM","Alamogordo",0.782059655998258,0.0539641068707039,0.0209324748841405,0.328419022736462,0.0431090790333116,0.120711641939598,0.0674279757391964
"44","Alamosa, CO","00847",27287,29,11397,21504,38176,65702,10405,8534,5069,293,157,400,1468,595,3711,0.521,614," CO","Alamosa",0.820182604517059,0.0281595386833253,0.0150888995675156,0.487169629985584,0.0384430562229697,0.141086016338299,0.0888855691664177
"45","Albany, GA","00901",33456,32.9,11401,25294,43184,74213,95307,32685,2324,58998,1126,1461,10786,7286,29413,0.5069,717," GA","Albany",0.342944379741257,0.619031130976738,0.0118144522438016,0.024384357917047,0.0153294091724637,0.113171120694178,0.110571523962728
"46","Albany, MN","00921",52368,39,19500,40065,66396,102820,2646,2612,32,0,5,22,322,57,606,0.3917,697," MN","Albany",0.987150415721844,0,0.0018896447467876,0.0120937263794407,0.00831443688586546,0.121693121693122,0.0279411764705882
"47","Albany, OR","00955",46527,35.3,19199,36126,57958,87150,58226,51836,7308,397,1276,1870,8781,3291,16894,0.4194,801," OR","Albany",0.890255212448047,0.00681825988390066,0.0219146085940989,0.125510940129839,0.0321162367327311,0.150808916978669,0.0796235362431046
"48","Albany--Schenectady, NY","00970",59669,38.1,24017,46925,73933,112813,598272,474939,33228,63037,28746,20129,144277,23665,167652,0.4407,901," NY","Albany--Schenectady",0.793851291720154,0.105365118207103,0.0480483793324775,0.0555399550706033,0.0336452316003423,0.241156196512623,0.0549556453485672
"49","Albemarle, NC","00982",33115,39.8,13626,24632,42915,71926,16956,12114,510,3718,561,400,2046,1080,5659,0.4723,592," NC","Albemarle",0.714437367303609,0.219273413540929,0.0330856334041047,0.0300778485491861,0.0235904694503421,0.1206652512385,0.0956006019297159
"50","Albert Lea, MN","01009",37354,45.2,17672,30006,45969,75275,17598,16543,2335,277,98,283,1924,560,5633,0.4451,548," MN","Albert Lea",0.940050005682464,0.0157404250483009,0.00556881463802705,0.132685532446869,0.0160813728832822,0.109330605750653,0.0468031759297952
"51","Albertville, AL","01036",34934,33.9,15612,27152,45738,79277,36917,32770,8693,1300,316,638,3690,1397,11073,0.4701,587," AL","Albertville",0.887666928515318,0.0352141289920633,0.00855974212422461,0.235474171790774,0.0172820109976434,0.099953950754395,0.0540550998297477
"52","Albia, IA","01063",34459,42.4,16089,29888,47000,81871,3460,3416,1,13,0,31,424,64,1255,0.4313,531," IA","Albia",0.98728323699422,0.00375722543352601,0,0.000289017341040462,0.00895953757225434,0.122543352601156,0.0290249433106576
"53","Albion, MI","01090",25080,32.9,10581,20043,32407,57529,8930,5894,383,2620,39,248,938,727,3324,0.4657,541," MI","Albion",0.660022396416573,0.293393057110862,0.00436730123180291,0.0428891377379619,0.0277715565509518,0.105039193729003,0.129682483053871
"54","Albion, NY","01117",27194,38.4,12762,21643,39066,68097,8447,6072,873,1659,37,159,464,321,4736,0.4933,583," NY","Albion",0.718835089380845,0.196401089144075,0.00438025334438262,0.103350301882325,0.0188232508582929,0.0549307446430685,0.0864995957962813
"55","Albion, PA","01144",48269,39.6,18516,37161,54656,76583,4346,3145,304,968,6,89,311,48,2897,0.3703,499," PA","Albion",0.723653934652554,0.222733548090198,0.00138057984353428,0.0699493787390704,0.0204786010124252,0.0715600552231937,0.0331262939958592
"56","Albuquerque, NM","01171",49077,36.3,20166,38318,61979,99546,754137,547987,361306,21787,17012,30306,158512,32333,212874,0.4644,816," NM","Albuquerque",0.726641180581247,0.0288899762244791,0.0225582354399797,0.47909862531609,0.040186332191631,0.210189925703155,0.0597362095691004
"57","Alderson, WV","01198",25565,38.9,11347,20449,36833,58818,2289,1890,93,309,0,51,227,38,1437,0.4948,574," WV","Alderson",0.825688073394495,0.134993446920052,0,0.0406290956749672,0.0222804718217562,0.0991699432066405,0.0446009389671361
"58","Aledo, IL","01225",41429,40.1,18463,36486,53905,79567,3676,3526,125,24,22,9,433,76,1225,0.4049,560," IL","Aledo",0.959194776931447,0.00652883569096844,0.00598476605005441,0.0340043525571273,0.00244831338411317,0.117791077257889,0.0310077519379845
"59","Aledo, TX","01232",110743,36.5,54820,97631,124163,162618,5602,5329,568,21,6,184,1578,84,1226,0.3425,1208," TX","Aledo",0.951267404498393,0.00374866119243127,0.00107104605498036,0.101392359871474,0.0328454123527312,0.281685112459836,0.0191956124314442
"60","Alexander City, AL","01252",24708,32.6,12231,20812,30664,49556,9879,4737,872,4753,0,10,697,521,3446,0.4303,547," AL","Alexander City",0.479501973883996,0.481121571009211,0,0.0882680433242231,0.00101224820325944,0.0705536997671829,0.0809886522617752
"61","Alexandria, LA","01279",37093,35.5,15650,28751,46200,79396,83578,41174,2639,38384,1667,1540,10320,3403,30379,0.4842,747," LA","Alexandria",0.492641604249922,0.45925961377396,0.0199454401876092,0.0315752949340736,0.0184259015530403,0.123477470147647,0.0639673678076656
"62","Alexandria, MN","01306",46164,40.8,19073,38190,55993,84064,17435,16868,100,143,33,256,3507,557,4752,0.4436,674," MN","Alexandria",0.967479208488672,0.0082018927444795,0.00189274447949527,0.00573558933180384,0.0146831086894178,0.201147117866361,0.0439170543246866
"63","Alfred, NY","01333",24167,20.1,7938,18204,35327,70393,4432,3505,229,542,227,82,360,334,2275,0.5527,733," NY","Alfred",0.790839350180505,0.122292418772563,0.0512184115523466,0.0516696750902527,0.0185018050541516,0.0812274368231047,0.154844691701437
"64","Algoma, WI","01360",39864,44.8,16375,32228,48396,73086,2955,2909,49,37,0,9,237,137,1034,0.3818,535," WI","Algoma",0.984433164128596,0.0125211505922166,0,0.0165820642978003,0.00304568527918782,0.0802030456852792,0.0713170223841749
"65","Algona, IA","01387",49857,45.9,20386,37902,57104,80130,5328,5235,119,1,27,65,915,43,1621,0.3727,575," IA","Algona",0.982545045045045,0.000187687687687688,0.00506756756756757,0.0223348348348348,0.0121996996996997,0.171734234234234,0.0115996762881036
"66","Alice, TX","01414",41064,33.4,18553,32191,52692,98137,20898,19430,17911,124,146,323,1475,568,6277,0.4603,703," TX","Alice",0.929754043449134,0.00593358216097234,0.00698631447985453,0.857067661977223,0.0154560244999521,0.0705809168341468,0.0388482319950756
"67","Allegan, MI","01441",41657,37.8,17872,36011,46991,64350,6258,5832,235,280,33,61,670,203,2352,0.4132,774," MI","Allegan",0.931927133269415,0.0447427293064877,0.00527325023969319,0.0375519335250879,0.00974752317034196,0.107062959411953,0.0519713261648745
"68","Allendale, SC","01468",22281,35.7,10722,19318,29000,45612,3228,332,17,2879,0,0,329,441,1250,0.4292,553," SC","Allendale",0.102850061957869,0.891883519206939,0,0.00526641883519207,0,0.101920693928129,0.222952477249747
"69","Allentown, PA--NJ","01495",56437,39.8,23815,44942,69574,107277,666536,550141,108176,40728,19789,19499,122730,32459,187426,0.4384,925," PA--NJ","Allentown",0.82537327316154,0.0611039763793704,0.0296893191065449,0.162295809978756,0.0292542338298306,0.18413108969358,0.0677485337396422
"70","Alliance, NE","01522",45909,38.8,19740,33472,58860,86136,8512,7769,1227,12,3,131,821,228,2122,0.4148,550," NE","Alliance",0.912711466165414,0.00140977443609023,0.000352443609022556,0.144149436090226,0.015390037593985,0.0964520676691729,0.0356807511737089
"71","Alliance, OH","01549",33433,40,14593,25550,40175,65831,32334,28930,945,2371,48,906,2719,2174,11459,0.4606,625," OH","Alliance",0.89472382012742,0.073328384981753,0.00148450547411394,0.0292262015216181,0.0280200408239005,0.084091049669079,0.10414371257485
"72","Alma, GA","01603",31667,32.4,12030,22609,38069,66382,3305,1678,361,1311,114,13,331,85,1232,0.4771,584," GA","Alma",0.507715582450832,0.396671709531014,0.0344931921331316,0.109228441754917,0.00393343419062027,0.100151285930408,0.0410033767486734
"73","Alma--St. Louis, MI","01630",33977,34.1,15159,26062,42818,66888,16890,14157,1127,2094,16,417,1638,861,8240,0.4409,556," MI","Alma--St. Louis",0.838188277087034,0.123978685612789,0.000947306098283008,0.0667258732978094,0.0246891651865009,0.0969804618117229,0.0995375722543353
"74","Almont, MI","01657",45707,40.6,24103,37667,56594,94632,2724,2567,85,0,68,29,275,178,690,0.3875,583," MI","Almont",0.942364170337739,0,0.0249632892804699,0.0312041116005874,0.0106461086637298,0.100954478707783,0.0875122910521141
"75","Alpena, MI","01684",34855,43.3,14876,27682,43640,69747,13842,13342,216,128,57,198,1765,698,4786,0.4419,529," MI","Alpena",0.96387805230458,0.00924721861002745,0.00411790203727785,0.0156046814044213,0.0143042912873862,0.127510475364832,0.0770759717314488
"76","Alpine, TX","01711",36834,37.3,19052,30964,44715,82435,6042,5585,3156,168,0,112,1338,118,1820,0.5301,663," TX","Alpine",0.924362793776895,0.0278053624627607,0,0.522343594836147,0.0185369083085071,0.221449851042701,0.0279488394126007
"77","Altavista, VA","01738",39891,47.6,17759,30558,48877,77423,4517,3157,145,1016,98,67,669,123,1689,0.4315,710," VA","Altavista",0.698915209209652,0.224928049590436,0.0216958158069515,0.032100951959265,0.0148328536639362,0.148107150763781,0.0434936350777935
"78","Alton, IL--MO","01765",45214,40.1,20354,35753,55740,84581,83412,72858,1792,7749,429,1951,10344,4343,26055,0.4246,749," IL--MO","Alton",0.873471442957848,0.0929003021148036,0.00514314487124155,0.0214837193689157,0.0233899199155997,0.124010933678607,0.0757187440068344
"79","Altoona, PA","01792",41006,41.5,18390,32772,51724,79162,80329,76219,996,1729,866,1351,10772,2734,26930,0.4454,631," PA","Altoona",0.948835414358451,0.0215239826214692,0.0107806645171731,0.0123990090751783,0.0168183345989618,0.13409851983717,0.0511994606640574
"80","Alturas, CA","01819",29659,44.8,12913,25409,39862,70667,2504,2271,381,13,2,99,251,132,939,0.461,690," CA","Alturas",0.906948881789137,0.00519169329073482,0.000798722044728434,0.152156549520767,0.0395367412140575,0.100239616613419,0.0843450479233227
"81","Altus, OK","01846",40122,33.1,19424,33966,48994,75040,19672,14149,4768,1863,223,1559,2220,748,5067,0.4312,696," OK","Altus",0.719245628304189,0.094703131354209,0.0113359089060594,0.242374949166328,0.0792496949979666,0.112850752338349,0.0512153372132831
"82","Alva, OK","01873",46585,30.4,14811,33275,56891,83938,5644,4827,311,317,13,293,816,79,1982,0.4726,623," OK","Alva",0.855244507441531,0.0561658398299079,0.00230333097094259,0.0551027639971651,0.0519135364989369,0.144578313253012,0.0215729109776079
"83","Alvarado, TX","01900",40163,36.8,13868,33200,52308,76400,3874,3600,542,138,0,81,159,250,1269,0.3872,775," TX","Alvarado",0.929272070211668,0.0356220960247806,0,0.139907072792979,0.0209086215797625,0.041042849767682,0.0959692898272553
"84","Amarillo, TX","01927",47016,34,20374,36876,58194,93385,199490,165076,59137,14131,6890,6259,28095,5371,51871,0.4558,745," TX","Amarillo",0.827490099754374,0.0708356308586897,0.0345380720838137,0.296440924357111,0.0313750062659782,0.140834127023911,0.0363842052852275
"85","American Falls, ID","01981",42070,31.5,26433,39436,50034,70958,4398,3911,1495,8,0,135,182,234,1153,0.3003,717," ID","American Falls",0.889267849022283,0.00181900864029104,0,0.339927239654388,0.0306957708049113,0.0413824465666212,0.0721109399075501
"86","Americus, GA","02008",28878,29.4,10851,21373,39081,64089,18515,6547,638,11170,74,371,2385,1447,6217,0.4825,605," GA","Americus",0.353605184985147,0.603294625978936,0.00399675938428301,0.0344585471239535,0.0200378071833648,0.128814474750203,0.117661408359083
"87","Amery, WI","02035",40739,50.6,22808,35250,46649,80688,2829,2701,35,51,8,41,432,69,1090,0.3892,901," WI","Amery",0.954754330151997,0.0180275715800636,0.00282785436550018,0.0123718628490633,0.0144927536231884,0.15270413573701,0.0396779758481886
"88","Ames, IA","02062",43256,23.6,14167,31332,56698,95657,63203,53574,2256,2117,5466,1523,17674,2287,18401,0.4933,773," IA","Ames",0.847649636884325,0.0334952454788539,0.0864832365552268,0.0356945081720804,0.0240969574229071,0.279638624748825,0.0510468282665952
"89","Amite City, LA","02116",34971,33.5,15093,27031,43262,67813,6334,1936,24,4130,5,220,872,449,2360,0.4509,688," LA","Amite City",0.305652036627723,0.652036627723398,0.000789390590464162,0.00378907483422798,0.0347331859804231,0.13766971897695,0.11298439859084
"90","Amory, MS","02143",36332,38,14177,27631,44867,69685,6570,4222,21,2253,0,89,825,364,2310,0.4362,511," MS","Amory",0.64261796042618,0.342922374429224,0,0.00319634703196347,0.0135464231354642,0.125570776255708,0.0854460093896714
"91","Amsterdam, NY","02170",40473,39.6,15044,31024,50897,84892,21873,17876,5344,844,99,866,2481,1329,6906,0.4678,712," NY","Amsterdam",0.817263292643899,0.038586385040918,0.00452612810314086,0.24431948063823,0.0395921912860604,0.113427513372651,0.0887953497694929
"92","Anaconda-Deer Lodge County, MT","02197",38412,48.7,16365,30358,49494,76846,5925,5671,155,100,0,79,839,250,2160,0.4346,514," MT","Anaconda-Deer Lodge County",0.957130801687764,0.0168776371308017,0,0.0261603375527426,0.0133333333333333,0.141603375527426,0.0664010624169987
"93","Anacortes, WA","02224",58773,49.5,25016,46723,72480,107130,16863,15549,879,90,370,505,4770,509,6470,0.4283,1021," WA","Anacortes",0.922077922077922,0.00533712862479986,0.0219415287908439,0.0521259562355453,0.0299472217280436,0.282867817114392,0.0489752718175695
"94","Anadarko, OK","02251",29078,32.9,13146,23802,35661,64637,5779,2134,974,325,52,513,565,372,2087,0.4547,532," OK","Anadarko",0.369268039453193,0.0562381034781104,0.00899809655649766,0.168541270115937,0.0887696833362173,0.097767779892715,0.100758396533044
"95","Anamosa, IA","02278",42228,40.8,16781,33892,53369,80591,5524,4927,191,388,35,13,375,288,2433,0.3994,536," IA","Anamosa",0.891926140477915,0.0702389572773353,0.00633598841419261,0.0345763939174511,0.00235336712527154,0.0678855901520637,0.0931737301844063
"96","Anchorage, AK","02305",74631,32.4,35604,61180,91613,137445,253885,158869,21311,16277,24085,25057,50369,9990,50374,0.4172,1157," AK","Anchorage",0.625751816767434,0.0641117041180062,0.0948657856903716,0.0839395789432223,0.0986942907221774,0.198392973196526,0.0490882556716836
"97","Anchorage Northeast, AK","02332",100468,32,52087,81706,113823,155545,31089,25567,2869,988,691,2036,6909,835,6589,0.36,1622," AK","Anchorage Northeast",0.822380906429927,0.0317797291646563,0.0222265109845926,0.0922834443050597,0.0654894013959922,0.222232944128148,0.0340816326530612
"98","Andalusia, AL","02359",29280,33.2,13610,23188,36333,58383,6651,4209,149,2176,61,169,625,415,2403,0.4227,587," AL","Andalusia",0.632837167343257,0.327168846789956,0.00917155314990227,0.0224026462186137,0.0254097128251391,0.0939708314539167,0.0976930320150659
"99","Anderson, IN","02386",39192,39.4,16276,31724,47917,73920,86760,73515,3572,8761,398,2699,10027,4696,31052,0.4329,694," IN","Anderson",0.847337482710927,0.100979714153988,0.00458736745043799,0.0411710465652374,0.031108805901337,0.115571692023974,0.0842966898829612
"100","Anderson, SC","02413",37740,39.9,16049,28748,47468,79246,76695,52227,2959,21666,742,1161,10635,4283,25545,0.4699,680," SC","Anderson",0.680970076276159,0.282495599452376,0.00967468544233653,0.038581393832714,0.0151378838255427,0.138666145120282,0.0837341153470186
"101","Andrews, SC","02440",26654,31.2,10280,21189,34049,60276,4173,1463,83,2695,0,5,193,359,1390,0.4739,588," SC","Andrews",0.350587107596453,0.64581835609873,0,0.019889767553319,0.00119817876827223,0.0462497004553079,0.12899748472871
"102","Andrews, TX","02467",61295,34,24119,46193,83517,119024,13746,12710,7251,280,105,220,1129,276,3404,0.4715,893," TX","Andrews",0.924632620398661,0.0203695620544158,0.00763858577040594,0.527498908773461,0.0160046558998982,0.082132984140841,0.0266872945271708
"103","Angels, CA","02494",51886,48.3,19759,39341,65957,93909,3690,3491,515,0,15,82,709,66,1612,0.448,898," CA","Angels",0.946070460704607,0,0.0040650406504065,0.139566395663957,0.0222222222222222,0.192140921409214,0.0317613089509143
